name,model,size,link
0031011/16'' x 4-1/8'',310,11/16'' x 4-1/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00310
0031111/16'' x 5-1/4'',311,11/16'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00311
016533/8'' x 3-1/4'',1653,3/8'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=01653
1035111/16'' x 3-7/16'',10351,11/16'' x 3-7/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=10351
106739/16'' x 5-3/16'',10673,9/16'' x 5-3/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=10673
203561/2'' x 2-1/4'',20356,1/2'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=20356
903481'' x 4-1/2'',90348,1'' x 4-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90348
903523/4'' x 3'',90352,3/4'' x 3'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90352
903895/8'' x 3-1/4'',90389,5/8'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90389
904035/8'' x 3'',90403,5/8'' x 3'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90403
9041111/16'' x 3'',90411,11/16'' x 3'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90411
904315/8'' x 3-1/4'',90431,5/8'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90431
9054011/16'' x 5-1/4'',90540,11/16'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90540
906289/16'' x 5-1/4'',90628,9/16'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90628
059555/8'' x 5-9/16'',5955,5/8'' x 5-9/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=05955
004227/16'' x 2-31/32'',422,7/16'' x 2-31/32'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00422
031407/16'' x 3-1/4'',3140,7/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03140
0653A7/16'' x 3-1/4'',0653A,7/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0653A
0714U9/16'' x 4-1/8'',0714U,9/16'' x 4-1/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0714U
0625A7/16'' x 2-1/4'',0625A,7/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0625A
0623B9/16'' x 3-1/4'',0623B,9/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0623B
006289/16'' x 5-1/4'',628,9/16'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00628
042559/16'' x 5-5/8'',4255,9/16'' x 5-5/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=04255
CR6703/4'' x 3-1/2'',CR670,3/4'' x 3-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=CR670
CR6833/4'' x 4-1/2'',CR683,3/4'' x 4-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=CR683
CR6785/8'' x 5-1/4'',CR678,5/8'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=CR678
CR6795/8'' x 5-1/4'',CR679,5/8'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=CR679
CR6805/8'' x 5-15/16'',CR680,5/8'' x 5-15/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=CR680
CR6747/8'' x 7-3/8'',CR674,7/8'' x 7-3/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=CR674
031017/16'' x 2-1/4'',3101,7/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03101
031027/16'' x 3-1/4'',3102,7/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03102
0073511/16'' x 4-1/2'',735,11/16'' x 4-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00735
009641/2'' x 4-1/2'',964,1/2'' x 4-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00964
003031-1/4'' x 1-1/2'',303,1-1/4'' x 1-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00303
WM1801-1/4'' x 2'',WM180,1-1/4'' x 2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=WM180
033221-1/4'' x 2'',3322,1-1/4'' x 2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03322
3322B1-1/4'' x 2-1/4'',3322B,1-1/4'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=3322B
3322T1-1/4'' x 2-1/8'',3322T,1-1/4'' x 2-1/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=3322T
3322F1-3/16'' x 3-1/8'',3322F,1-3/16'' x 3-1/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=3322F
032943/8'' x 1-1/2'',3294,3/8'' x 1-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03294
007381'' x 3-1/4'',738,1'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00738
0L1281-1/8'' x 4'',0L128,1-1/8'' x 4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0L128
3005R1/2'' x 1-1/2'',3005R,1/2'' x 1-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=3005R
008291/2'' x 2-1/4'',829,1/2'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00829
0M37C11/16'' x 2-1/2'',0M37C,11/16'' x 2-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0M37C
WM32711/16'' x 2-1/4'',WM327,11/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=WM327
0M37D11/16'' x 3-1/2'',0M37D,11/16'' x 3-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0M37D
LH44411/16'' x 3-1/4'',LH444,11/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=LH444
0063311/16'' x 3-5/16'',633,11/16'' x 3-5/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00633
000773/4'' x 2-5/8'',77,3/4'' x 2-5/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00077
0H4003/4'' x 3'',0H400,3/4'' x 3'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0H400
034593/4'' x 3-3/4'',3459,3/4'' x 3-3/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03459
L03083/4'' x 4'',L0308,3/4'' x 4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=L0308
030803/8'' x 1-7/16'',3080,3/8'' x 1-7/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03080
030023/8'' x 2-1/4'',3002,3/8'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03002
043563/8'' x 2-1/4'',4356,3/8'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=04356
9356A3/8'' x 2-1/4'',9356A,3/8'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=9356A
052085/8'' x 2-1/2'',5208,5/8'' x 2-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=05208
021405/8'' x 2-1/4'',2140,5/8'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=02140
051255/8'' x 2-1/4'',5125,5/8'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=05125
0H3565/8'' x 2-1/4'',0H356,5/8'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0H356
077055/8'' x 2-3/4'',7705,5/8'' x 2-3/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=07705
007875/8'' x 2-9/16'',787,5/8'' x 2-9/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00787
104445/8'' x 3-3/8'',10444,5/8'' x 3-3/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=10444
131309/16'' x 2-1/4'',13130,9/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=13130
403567/16'' x 2-1/8'',40356,7/16'' x 2-1/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=40356
404013/8'' x 2-1/2'',40401,3/8'' x 2-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=40401
404447/16'' x 3-1/4'',40444,7/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=40444
412085/8'' x 2-1/2'',41208,5/8'' x 2-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=41208
900935/8'' x 3-1/4'',90093,5/8'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90093
903405/8'' x 3-1/4'',90340,5/8'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90340
903415/8'' x 3-3/8'',90341,5/8'' x 3-3/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90341
904011/2'' x 2-1/2'',90401,1/2'' x 2-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90401
9041011/16'' x 2-1/4'',90410,11/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90410
904155/8'' x 2-1/4'',90415,5/8'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90415
904215/8'' x 2-1/4'',90421,5/8'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90421
904235/8'' x 3'',90423,5/8'' x 3'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90423
9053511/16'' x 3-1/2'',90535,11/16'' x 3-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90535
909075/8'' x 2-1/4'',90907,5/8'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90907
909085/8'' x 3-5/16'',90908,5/8'' x 3-5/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90908
930023/8'' x 2-1/4'',93002,3/8'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=93002
931215/8'' x 2-5/8'',93121,5/8'' x 2-5/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=93121
932969/16'' x 2-1/4'',93296,9/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=93296
933125/8'' x 3-1/2'',93312,5/8'' x 3-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=93312
934445/8'' x 3-1/4'',93444,5/8'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=93444
980633/4'' x 3-1/4'',98063,3/4'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=98063
982335/8'' x 3-5/16'',98233,5/8'' x 3-5/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=98233
021505/8'' x 3-1/4'',2150,5/8'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=02150
051265/8'' x 3-1/4'',5126,5/8'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=05126
008119/16'' x 2-1/4'',811,9/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00811
019119/16'' x 2-1/4'',1911,9/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=01911
030189/16'' x 2-1/4'',3018,9/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03018
9S3569/16'' x 2-1/4'',9S356,9/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=9S356
007719/16'' x 3-9/16'',771,9/16'' x 3-9/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00771
032111-1/16'' x 3-1/2'',3211,1-1/16'' x 3-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03211
032095/8'' x 2-1/2'',3209,5/8'' x 2-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03209
WM32411/16'' x 2-1/4'',WM324,11/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=WM324
030007/16'' x 1-7/16'',3000,7/16'' x 1-7/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03000
9H3561/2'' x 2-1/4'',9H356,1/2'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=9H356
0356V1/2'' x 2-1/8'',0356V,1/2'' x 2-1/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0356V
0120811/16'' x 2-1/2'',1208,11/16'' x 2-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=01208
0W35611/16'' x 2-1/4'',0W356,11/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0W356
0312111/16'' x 2-3/4'',3121,11/16'' x 2-3/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03121
0444V11/16'' x 3-1/4'',0444V,11/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0444V
009543/4'' x 3-1/2'',954,3/4'' x 3-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00954
0356C3/8'' x 2'',0356C,3/8'' x 2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0356C
L356A3/8'' x 2-1/4'',L356A,3/8'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=L356A
9W3565/8'' x 2-1/4'',9W356,5/8'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=9W356
0L3567/16'' x 2-1/4'',0L356,7/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0L356
003577/16'' x 2-1/8'',357,7/16'' x 2-1/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00357
0H1259/16'' x 2-1/8'',0H125,9/16'' x 2-1/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0H125
004219/16'' x 2-3/16'',421,9/16'' x 2-3/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00421
0H4449/16'' x 3-1/4'',0H444,9/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0H444
032967/16'' x 2-1/4'',3296,7/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03296
0072911/16'' x 3-1/8'',729,11/16'' x 3-1/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00729
031259/16'' x 3-1/4'',3125,9/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03125
030047/16'' x 2-1/4'',3004,7/16'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03004
CR6941'' x 3-1/2'',CR694,1'' x 3-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=CR694
CR6691'' x 4-1/8'',CR669,1'' x 4-1/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=CR669
CR6923/4'' x 4-1/2'',CR692,3/4'' x 4-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=CR692
004351/2'' x 2-1/2'',435,1/2'' x 2-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00435
004381/2'' x 3-1/2'',438,1/2'' x 3-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00438
007363/4'' x 3-1/2'',736,3/4'' x 3-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00736
